"logFC" "logCPM" "LR" "PValue" "FDR"
"K03326" -0.799535004197832 7.82035397464153 8.0374536896546 0.00458199005277048 0.363024221335648
"K01051" -0.608216218248436 7.62642624109526 7.9675287362055 0.00476239126223113 0.363024221335648
"K06896" -1.15586659747226 6.46927421990545 7.95883548215731 0.00478531928124263 0.363024221335648
"K18581" -0.665383288283174 8.36979923756905 7.89693591142412 0.00495186099948465 0.363136473295541
"K03575" 0.362080380155641 9.58546778083408 7.82472744359118 0.00515362179011246 0.365740901233787
"K00087" -0.722558678082584 7.88937702369353 7.66995059514269 0.00561479944089373 0.370184360229522
"K17363" -0.61967023857168 8.93205545472636 7.65210561952423 0.00567060960131355 0.370184360229522
"K07089" 0.425381836684287 8.76669064858318 7.63613700880695 0.00572103102172898 0.370184360229522
"K07133" -0.339273114780442 11.0212608335521 7.4514544007974 0.00633852113549986 0.386196309367253
"K08323" -1.05619850663333 7.16773112179911 7.43506533200399 0.00639650418025154 0.386196309367253
"K07114" -0.465627460191819 8.83820058243924 7.39086535476317 0.00655559417228554 0.386196309367253
"K00244" -0.335315922912492 9.55659332373861 7.35957289668313 0.00667066352543436 0.386196309367253
"K11751" 0.453781226854145 8.26236166736165 7.26192306429446 0.00704318324490083 0.397307772789277
"K01192" 0.471277209964576 8.68988485870011 7.09680898734163 0.00772213115436592 0.416043198647187
"K05845" 0.732353893578802 7.36950928134766 7.04638866718818 0.00794252229164791 0.416043198647187
"K10201" 0.79538725754605 7.1017344165707 7.04636147207726 0.00794264288326448 0.416043198647187
"K17716" 0.536623687325238 8.22647099829451 6.97639965833513 0.00825916001442697 0.422561675156729
"K11754" 0.262238040402177 9.67613071848255 6.92054026889785 0.00852112281958113 0.426056140979057
"K03293" -0.790845631570831 7.02786818608504 6.8368519863336 0.00892960646970222 0.436558538518775
"K06909" -0.820388160774767 7.01097387085625 6.59730453581193 0.0102133270764234 0.470291382553708
"K00048" -0.658129168266576 7.77188483592722 6.5856526581417 0.0102803917802508 0.470291382553708
"K00768" -0.499233713936498 8.3743141189848 6.55637803465329 0.010450887160929 0.470291382553708
"K01629" -0.603207648588794 7.34745412583974 6.55233311552546 0.0104746717023326 0.470291382553708
"K21393" -0.694617022406513 6.93372603903759 6.47478977911541 0.0109415254745143 0.478637267735118
"K03518" -0.531970333434072 7.86751883431985 6.44992828153758 0.0110956821156777 0.478637267735118
"K16328" 0.726872001916896 6.93014469541233 6.3031071966403 0.0120526531009438 0.508815594055537
"K01270" 0.29439463558966 9.26043445949085 6.27318946461915 0.0122578302204289 0.508815594055537
"K02031/K02032" -0.525107021629645 7.5749801480412 6.1025648902677 0.0134985820612028 0.546987707791956
"K01206" 0.403169058866732 9.68192280135526 6.07966206807851 0.0136746926947989 0.546987707791956
"K18816" 0.906600039621834 6.41396544470878 5.94286148261075 0.0147770087854845 0.580525345144035
